Id,Sepallengthincm,Sepalwidthincm,Petalleangthincm,Petalwidthincm,Species,sqrofsepllength,zeros
0,5.1,3.5,1.4,0.2,Iris-setosa,26.009999999999998,0
1,4.9,3.0,1.4,0.2,Iris-setosa,24.010000000000005,1
2,4.7,3.2,1.3,0.2,Iris-setosa,22.090000000000003,2
3,4.6,3.1,1.5,0.2,Iris-setosa,21.159999999999997,3
4,5.0,3.6,1.4,0.2,Iris-setosa,25.0,4
5,5.4,3.9,1.7,0.4,Iris-setosa,29.160000000000004,5
6,4.6,3.4,1.4,0.3,Iris-setosa,21.159999999999997,6
7,5.0,3.4,1.5,0.2,Iris-setosa,25.0,7
8,4.4,2.9,1.4,0.2,Iris-setosa,19.360000000000003,8
9,4.9,3.1,1.5,0.1,Iris-setosa,24.010000000000005,9
10,5.4,3.7,1.5,0.2,Iris-setosa,29.160000000000004,10
11,4.8,3.4,1.6,0.2,Iris-setosa,23.04,11
12,4.8,3.0,1.4,0.1,Iris-setosa,23.04,12
13,4.3,3.0,1.1,0.1,Iris-setosa,18.49,13
14,5.8,4.0,1.2,0.2,Iris-setosa,33.64,14
15,5.7,4.4,1.5,0.4,Iris-setosa,32.49,15
16,5.4,3.9,1.3,0.4,Iris-setosa,29.160000000000004,16
17,5.1,3.5,1.4,0.3,Iris-setosa,26.009999999999998,17
18,5.7,3.8,1.7,0.3,Iris-setosa,32.49,18
19,5.1,3.8,1.5,0.3,Iris-setosa,26.009999999999998,19
20,5.4,3.4,1.7,0.2,Iris-setosa,29.160000000000004,20
21,5.1,3.7,1.5,0.4,Iris-setosa,26.009999999999998,21
22,4.6,3.6,1.0,0.2,Iris-setosa,21.159999999999997,22
23,5.1,3.3,1.7,0.5,Iris-setosa,26.009999999999998,23
24,4.8,3.4,1.9,0.2,Iris-setosa,23.04,24
25,5.0,3.0,1.6,0.2,Iris-setosa,25.0,25
26,5.0,3.4,1.6,0.4,Iris-setosa,25.0,26
27,5.2,3.5,1.5,0.2,Iris-setosa,27.040000000000003,27
28,5.2,3.4,1.4,0.2,Iris-setosa,27.040000000000003,28
29,4.7,3.2,1.6,0.2,Iris-setosa,22.090000000000003,29
30,4.8,3.1,1.6,0.2,Iris-setosa,23.04,30
31,5.4,3.4,1.5,0.4,Iris-setosa,29.160000000000004,31
32,5.2,4.1,1.5,0.1,Iris-setosa,27.040000000000003,32
33,5.5,4.2,1.4,0.2,Iris-setosa,30.25,33
34,4.9,3.1,1.5,0.1,Iris-setosa,24.010000000000005,34
35,5.0,3.2,1.2,0.2,Iris-setosa,25.0,35
36,5.5,3.5,1.3,0.2,Iris-setosa,30.25,36
37,4.9,3.1,1.5,0.1,Iris-setosa,24.010000000000005,37
38,4.4,3.0,1.3,0.2,Iris-setosa,19.360000000000003,38
39,5.1,3.4,1.5,0.2,Iris-setosa,26.009999999999998,39
40,5.0,3.5,1.3,0.3,Iris-setosa,25.0,40
41,4.5,2.3,1.3,0.3,Iris-setosa,20.25,41
42,4.4,3.2,1.3,0.2,Iris-setosa,19.360000000000003,42
43,5.0,3.5,1.6,0.6,Iris-setosa,25.0,43
44,5.1,3.8,1.9,0.4,Iris-setosa,26.009999999999998,44
45,4.8,3.0,1.4,0.3,Iris-setosa,23.04,45
46,5.1,3.8,1.6,0.2,Iris-setosa,26.009999999999998,46
